code,system
14C4.11,readv2
J410100,readv2
104259.0,med
15207.0,med
1784.0,med
22516.0,med
23950.0,med
24550.0,med
24858.0,med
30433.0,med
33456.0,med
42822.0,med
43090.0,med
48732.0,med
5133.0,med
53743.0,med
6650.0,med
704.0,med
8347.0,med
J41..00,readv2
J41z.00,readv2
J41..11,readv2
J41..12,readv2
J410300,readv2
J410.00,readv2
J410000,readv2
J412.00,readv2
J410200,readv2
J410400,readv2
J410z00,readv2
N031000,readv2
N045400,readv2
J411.00,readv2
J413.00,readv2
J41y.00,readv2
J41yz00,readv2
Jyu4100,readv2
17641.0,med
5749.0,med
71083.0,med
K51,icd10